ФИО,марка,год выпуска,номер,цвет
Берестова Алина Геннадиевна,Hyundai,2004,Т597ТР,синий
Нырцев Демид Евгеньевич,Mercedes,2016,Е959СТ,оранжевый
Талалина Нина Андреевна,Tesla,2004,С623МА,зеленый
Терентьева Айша Юрьевна,Skoda,1998,Т380АУ,голубой
Шангин Дмитрий Прохорович,Tesla,1994,М565УМ,фиолетовый
Лавлинский Данил Жоресович,Toyota,2009,Р701ХМ,оранжевый
Сиянгулова Маргарита Георгиевна,Lexus,2002,В412ЕС,розовый
Гришкина Любовь Валентиновна,Tesla,2022,А232ОС,голубой
Акимова Дария Семеновна,BMV,2015,В068КА,оранжевый
Гайдукова Айша Леонидовна,Ford,1993,Т652МВ,красный
Малкин Иван Никитович,Tesla,2012,Е206ТМ,голубой
Лазарева Лариса Николаевна,Volkswagen,2007,Х761ТО,розовый
Жиганов Демид Исаевич,Jeep,1990,Н653ХХ,белый
Лысов Виктор Ефимьевич,BMV,2010,В571ЕА,синий
Брынскиха Альфия Матвеевна,Kia,2019,Н328НХ,оранжевый
Комяхова Афина Ярославовна,Mazda,2019,Х584ХТ,зеленый
Лукина Тея Игоревна,Mitsubishi,1990,С974ЕО,белый
Мешкова Сабина Семеновна,Skoda,2000,Е719НТ,голубой
Дьяконов Адам Артёмович,Skoda,2006,М208ЕК,красный
Курневич Алиса Федоровна,Lexus,2001,Т227ЕТ,серый
Игошина Вероника Платоновна,Toyota,2016,К511ЕК,фиолетовый
Толбугин Антон Викентьевич,Nissan,1992,А028МО,синий
Живков Осип Борисыч,BMV,1990,Н971АР,фиолетовый
Розенбаха Аврора Степановна,Toyota,1992,С185АК,синий
Михалицин Ибрагим Вадимович,Mazda,2014,О519КХ,желтый
Веселкова Ариана Аркадьевна,Toyota,1996,Х590ЕЕ,серый
Малюгина Марианна Виталиевна,Dodge,1999,Р792ХХ,белый
Пасхин Аристарх Леонович,Honda,2008,У624МН,розовый
Москвитин Аркадий Валентинович,Tesla,1992,Т965ММ,голубой
Рытин Матвей Рустамович,Honda,2008,Х821ХТ,фиолетовый
Капп Степан Тарасович,Jeep,1990,М416ЕС,желтый
Шагидзянов Тимофей Вилорович,Mazda,2011,К540ОХ,зеленый
Никулаичев Виталий Ерофеевич,Kia,2005,Т665РУ,желтый
Мандрыка Родион Максимилианович,BMV,1990,В537УТ,голубой
Майсака Катерина Егоровна,Audi,1990,Т674АО,розовый
Бушуев Кузьма Евдокимович,Toyota,2019,Р934КХ,оранжевый
Исмайлова Ирина Владимировна,Volkswagen,1992,Н179ТХ,черный
