ФИО,марка,год выпуска,номер,цвет
Ягешева Татьяна Леонидовна,Hyundai,2021,К629РК,зеленый
Якимычева Евангелина Богдановна,Lexus,2021,О639ОК,зеленый
Грибков Леон Евгеньевич,Dodge,1995,С838МА,красный
Леонов Глеб Харлампьевич,Ford,2020,М260ЕН,серый
Петрухин Лука Харлампьевич,Toyota,1992,В232ВХ,оранжевый
Коденко Демид Гаврилович,BMV,2010,Р160ОТ,черный
Демидова Мелания Львовна,Mitsubishi,1995,Р492РС,черный
Никерова Алсу Васильевна,Skoda,1999,Р264ТР,красный
Заболотный Рюрик Наумович,Lexus,2017,В436МО,голубой
Виноградов Ярослав Тихонович,Mitsubishi,2022,Т633МТ,черный
Яскина Инна Владиславовна,Jeep,2000,Е817КР,розовый
Балтабева Аяна Семеновна,Jeep,2010,Н828УЕ,черный
Бершова Адриана Антоновна,Nissan,1996,О343АЕ,оранжевый
Шайнюк Филипп Рудольфович,Subaru,2019,С065ТУ,желтый
Лимаров Федот Антонович,Dodge,2021,Е672ЕУ,красный
Гусева Валерия Дмитриевна,Hyundai,2000,Н829РС,оранжевый
Лапухова Лада Ефимовна,Lada,2006,В185ОУ,голубой
Ярочкин Эмиль Алексеевич,Lexus,2011,Н529ОВ,розовый
Калугина Евгения Алексеевна,Skoda,2004,У516НС,красный
Чичеров Виктор Львович,Audi,1992,О747НМ,черный
Посохов Даниил Дмитриевич,Renault,2019,О171РХ,розовый
Янукович Фёдор Прохорович,Mercedes,1995,Е393КХ,фиолетовый
Дементьева Маргарита Романовна,Jeep,2002,К371ТТ,розовый
Бабатьев Владимир Валерьянович,Mazda,1999,Н720КН,розовый
Приходько Мария Станиславовна,Tesla,2003,К255УУ,красный
Зиновьева Евдокия Богдановна,Lexus,2010,Х637КО,красный
Целиковский Али Павлович,Ford,1996,Х001КТ,желтый
Сидоров Игнатий Магомедович,Hyundai,1999,Р271ВС,оранжевый
Пьянкова Айлин Игоревна,Skoda,2018,О546АЕ,оранжевый
Юнге Валерьян Ермилович,Honda,2004,Т684УН,оранжевый
Сидоров Вячеслав Осипович,Mitsubishi,2011,Н769ЕМ,розовый
Ядов Эмин Рудольфович,Mitsubishi,2008,К403МХ,синий
Ярыкина Наталья Романовна,BMV,1994,У460ЕХ,зеленый
Подколодный Алина Яковлевна,Renault,1994,К457ТУ,оранжевый
Лидин Демьян Феофанович,Renault,1995,Р780НХ,серый
Лескова Сафия Васильевна,Lada,2007,Т329ОВ,голубой
Цызырева Ева Григорьевна,Mercedes,1990,К920МН,оранжевый
Бореев Аркадий Максимович,Dodge,2001,Т498ВН,красный
Хохорин Савва Алексеевич,BMV,2008,У989ХС,голубой
Набиуллин Фадей Аверьянович,Honda,1998,В149УР,желтый
Борзилов Эмин Наумович,Lada,2018,С472ХВ,желтый
Оболенский Денис Васильевич,Mitsubishi,2012,Х350НМ,черный
Краснопёров Юлий Гаджиевич,Lexus,1994,У909АР,синий
Суружу Ирина Семеновна,Tesla,2015,У137МА,красный
