ФИО,марка,год выпуска,номер,цвет
Лескова Евангелина Романовна,Tesla,2006,А424НН,синий
Мелехов Камиль Матвеевич,Subaru,2009,Х897ВХ,голубой
Райков Тимофей Андроникович,Renault,2006,О910СХ,фиолетовый
Моисеева Василиса Филипповна,Hyundai,1990,В227НВ,черный
Шашлов Филипп Иваныч,Jeep,2019,О257ЕУ,голубой
Лоскутников Рустам Никандрович,Ford,2013,Е992СК,розовый
Вышегородских Онуфрий Бедросович,Hyundai,2014,Т187СЕ,фиолетовый
Гречко Ариана Степановна,Ford,2004,Н791НВ,фиолетовый
Мячина Карина Эдуардовна,Mercedes,1996,С536АО,синий
Панкратова Лейла Филипповна,Dodge,2015,О865НА,голубой
Достовалов Эмир Гаджиевич,Ford,2022,А135РК,оранжевый
Аргамакова Арина Георгиевна,Kia,2003,Р377ТР,красный
Полухина Есения Филипповна,BMV,2013,О056ВМ,синий
Гусева Альбина Геннадиевна,Ford,2005,Т793ВО,черный
Ячменцев Пётр Андреевич,Audi,2005,С326МУ,белый
Ковшутина Малика Евгеньевна,Kia,2006,М961НУ,синий
Казнов Агап Анисимович,Mercedes,2022,Н261НС,голубой
Горбачев Захар Гордеевич,BMV,1995,У808ЕК,синий
Аргамакова Дария Виталиевна,Renault,1994,Р270ЕМ,голубой
Зюлёв Степан Архипович,Lexus,2009,О413ВУ,красный
Ходяев Гордей Ефимович,Kia,1997,М027АС,белый
Чежеков Ипполит Ефстафьевич,Nissan,1992,В699АТ,синий
Жербин Тарас Тарасович,Mitsubishi,2022,Е476СЕ,белый
Талызин Федот Никандрович,Tesla,2019,О246СТ,оранжевый
Пшеничникова Мариам Кирилловна,Tesla,1999,К323СА,белый
Механтьев Леон Ильнурович,Toyota,2014,В557ОТ,голубой
Гуслякова Агния Аркадьевна,Lexus,2004,К123НМ,серый
Васин Никифор Авдеевич,Kia,2005,О148КХ,розовый
Трошкин Рустам Андроникович,Tesla,2012,В344ЕЕ,белый
Пономарева Тамара Даниловна,Skoda,1998,Т107СА,красный
Щербина Тигран Львович,Kia,1990,К756МТ,зеленый
Александрович Вадим Владиленович,Dodge,2011,С451ОА,оранжевый
Апакидзе Герман Иосипович,Honda,2011,Е306КА,серый
Ярыгина Лея Эдуардовна,Mitsubishi,1998,Р574ТУ,желтый
Шелепин Даниил Аркадьевич,Hyundai,2018,Е972ОН,серый
Гурьев Сергей Андроникович,Audi,1990,М953КО,желтый
Яблонева Любовь Аркадьевна,Kia,1999,Р212ОК,желтый
Киреева Полина Денисовна,Ford,2019,Н272КВ,желтый
Коллеров Максим Елизарович,Mazda,2020,Р467ОС,белый
Григорьев Павел Израилевич,Mazda,2008,А265ОО,белый
Ёжин Билал Даниилович,Honda,1991,У839НО,синий
Черная Дарина Геннадиевна,Volkswagen,2022,А518СР,синий
Уржумцева Инна Тарасовна,Nissan,1990,А657ЕС,оранжевый
Лель Дамир Гаджиевич,Honda,1992,Т942СВ,черный
Дуболазова Ирина Антоновна,Renault,2002,В198НМ,синий
Занина Камила Борисовна,Dodge,2004,В403МР,черный
Акимова Юлия Анатольевна,Subaru,2009,Т996НЕ,синий
Гусин Онуфрий Иваныч,Nissan,1999,Т555ВК,желтый
Лопатин Захар Евдокимович,Lexus,1997,Т407ВЕ,желтый
Быстрова Марьяна Даниловна,BMV,1990,Н205РТ,красный
Ягнышев Тарас Сергеевич,Subaru,1996,Х209УС,серый
Образцов Степан Дмитриевич,Volkswagen,2011,Т642ХА,серый
Саввин Аркадий Валерьянович,BMV,1992,К287ЕН,голубой
Азаренкова Нина Семеновна,Mazda,2020,Х189ХК,желтый
Лашкина Афина Богдановна,Nissan,2011,Т738УО,зеленый
Яковалева Анфиса Филипповна,Dodge,2007,Р258РК,серый
Завьялов Осип Соломонович,Subaru,1999,Е804УК,черный
Грекова Василиса Феликсовна,Mazda,2016,О732РК,желтый
Жжёнова Диана Григорьевна,Ford,2003,Т373МТ,белый
Черенчикова Любава Викторовна,Mercedes,2016,С968НА,оранжевый
Грибков Вацлав Фадеевич,Kia,1990,М253ОЕ,синий
Капитанчук Тимофей Федосьевич,Ford,1996,Н513АУ,оранжевый
Якунова Анжелика Эдуардовна,Dodge,2021,Р745ММ,белый
Данькин Егор Анисимович,Lexus,2005,М905ХУ,красный
Саянкова Агния Григорьевна,Honda,2000,В203РМ,розовый
Куклачёва Агата Сергеевна,Audi,2001,К107МВ,желтый
Доронина Дина Филипповна,Subaru,2010,С995СС,оранжевый
Ягуткин Юлиан Вилорович,Audi,2001,Р119СК,серый
